
connection thread is runningrunning read while

asd
run MadgwickAHRSupdate thread for palm
MadgwickAHRS is started
-0.992385 -0.0562026 0.0686145 0.0668652 
0.992481 0.0542696 -0.0705595 -0.0649332 
-0.992655 -0.0533098 0.0696025 0.0639752 
-0.992609 -0.0542766 0.06863 0.0649416 
-0.992752 -0.051376 0.0696093 0.0639814 
0.992522 0.0542853 -0.069011 -0.0659142 
-0.99231 -0.0533042 0.0728724 0.0658999 
0.992518 0.0542857 -0.06998 -0.0649445 
0.99271 0.0523437 -0.0676675 -0.0659178 
0.992599 0.0542765 -0.0705679 -0.0630024 
0.992284 0.055242 -0.0699634 -0.0678362 
-0.992686 -0.0533244 0.0699918 0.0630166 
0.992194 0.0561868 -0.0705396 -0.0678336 
0.992194 0.0561849 -0.0705397 -0.0678336 
-0.99264 -0.053302 0.0715408 0.0620479 
-0.992196 -0.056185 0.0695709 0.0688027 
